fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
1001,AL,Autauga County,2,https://autaugacountyprobateoffice.com/,,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0
1003,AL,Baldwin County,3,https://baldwincountyal.gov/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1005,AL,Barbour County,6,https://getinvolvedbarbour.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,AL,Bibb County,1,https://bibbal.com/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,AL,Blount County,1,https://blountcountyal.gov/,https://blount.alacourt.gov/absentee-information/,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1011,AL,Bullock County,6,www.bullockal.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,AL,Butler County,6,https://butlercountyal.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,AL,Calhoun County,3,https://www.calhouncounty.org/,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
1017,AL,Chambers County,6,https://www.chamberscountyal.gov/,,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
1019,AL,Cherokee County,6,https://cherokeecounty-al.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,AL,Chilton County,1,https://chiltoncounty.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,AL,Choctaw County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,AL,Clarke County,7,https://clarkecountyal.com/,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1027,AL,Clay County,9,https://alabamaclaycounty.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,AL,Cleburne County,8,https://www.cleburnecounty.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,AL,Coffee County,4,https://www.coffeecounty.us/,www.coffeecountyvotes.com,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0
1033,AL,Colbert County,3,https://www.colbertcounty.org/,"colbert.alacourt.gov, http://www.colbertprobatejudge.org/",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1035,AL,Conecuh County,7,https://www.conecuhcounty.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1037,AL,Coosa County,8,http://www.coosacountyal.com/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1039,AL,Covington County,6,http://www.covcounty.com/,https://www.covingtonprobateoffice.com/,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1041,AL,Crenshaw County,8,https://www.crenshawcountyalonline.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,AL,Cullman County,4,http://www.co.cullman.al.us/,http://www.cullmancourts.org/elections.html,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,AL,Dale County,4,https://dalecountyal.com/,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1047,AL,Dallas County,4,http://www.dallascounty-al.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,AL,DeKalb County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,AL,Elmore County,2,https://www.elmoreco.org/,,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
1053,AL,Escambia County,6,https://www.escambiacountyal.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1055,AL,Etowah County,3,https://etowahcounty.org/,,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
