fips,state,county/city,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
2013,AK,Aleutians East Borough,9,https://www.aleutianseast.org,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2016,AK,City of Adak,9,https://www.adak-ak.gov,,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2016,AK,City of Atka,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,AK,City of St. george,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,AK,City of St. Paul,9,https://stpaulak.com,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,AK,City of Unalaska,9,https://www.ci.unalaska.ak.us,,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
2020,AK,Anchorage Municipality,2,https://www.muni.org/pages/default.aspx,,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
2050,AK,City of Akiak,7,https://akiaknativecommunity.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Aniak,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Bethel,7,https://www.cityofbethel.org,,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
2050,AK,City of Chefornak,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Chuathbaluk,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Eek,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Goodnews Bay,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Kwethluk,7,https://cityofkwethluk.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Lower Kalskag,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Mekoryuk,7,http://www.mekoryuktc.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Napakiak,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Napaskiak,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Nightmute,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Nunapitchuk,7,http://yupik.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Platinum,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Quinhagak,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Toksook Bay,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AK,City of Upper Kalskag,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,AK,Bristol Bay Borough,9,http://www.bristolbayboroughak.us,,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
2068,AK,Denali Borough,8,https://www.denaliborough.org,,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2070,AK,City of Aleknagik,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,AK,City of Clark's Point,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,AK,City of Dillingham,9,https://www.dillinghamak.us,,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
2070,AK,City of Ekwok,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,AK,City of Manokotak,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,AK,City of New Stuyahok,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,AK,City of Togiak,9,https://www.togiak.us,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,AK,Fairbanks North Star Borough,3,https://www.fnsb.gov,,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
2100,AK,Haines Borough,9,https://www.hainesalaska.gov,,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2105,AK,City of Angoon,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,AK,City of Gustavus,9,https://www.gustavus-ak.gov,,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2105,AK,City of Hoonah,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,AK,City of Pelican,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,AK,City of Tenakee Springs,9,http://www.tenakeespringsak.com,,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2110,AK,Juneau City and Borough,5,https://juneau.org,,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
2122,AK,Kenai Peninsula Borough,7,https://www.kpb.us,,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2130,AK,Ketchikan Gateway Borough,7,https://www.kgbak.us,,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2150,AK,Kodiak Island Borough,7,https://www.kodiakak.us,,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
2164,AK,Lake and Peninsula Borough,9,https://www.lakeandpen.com,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2170,AK,Matanuska-Susitna Borough,2,https://matsugov.us,,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
2180,AK,City of Brevig Mission,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Diomede,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Elim,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Gambell,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Golovin,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Koyuk,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Nome,7,https://www.nomealaska.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Savoonga,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Shaktoolik,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Shishmaref,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of St. Michael,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Stebbins,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Teller ,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Unalakleet,7,https://www.unk.gov,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of Wales,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,AK,City of White Mountain,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2185,AK,North Slope Borough,7,https://www.north-slope.org,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2188,AK,Northwest Arctic Borough,7,https://www.nwabor.org,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,AK,Petersburg Borough,9,https://www.petersburgak.gov,,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2198,AK,City of Coffman Cove,9,https://www.ccalaska.com,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2198,AK,City of Craig,9,https://www.craigak.com,,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
2198,AK,City of Edna Bay,9,https://cityofednabay.org/home,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,AK,City of Hydaburg,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,AK,City of Kake,9,https://www.cityofkake.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,AK,City of Kasaan,9,https://www.kasaan.org,,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2198,AK,City of Klawock,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,AK,City of Port Alexander,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,AK,City of Thorne Bay,9,https://thornebay-ak.gov,,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
2198,AK,City of Whale Pass,9,https://cityofwhalepass.com/home,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220,AK,Sitka City and Borough,7,https://www.cityofsitka.com,,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2230,AK,Skagway Municipality,9,https://www.skagway.org,,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2240,AK,City of Delta Junction,9,https://deltajunction.us,,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2240,AK,City of Eagle,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2261,AK,City of Cordova,9,https://www.cityofcordova.net,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2261,AK,City of Valdez,9,https://www.valdezak.gov,,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2261,AK,City of Whittier,9,https://www.whittieralaska.gov,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2270,AK,City of Alakanuk,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of Chevak,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of Emmonak,9,https://violin-beige-atd7.squarespace.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of Hooper Bay,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of Kotlik,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of Marshall,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of Mountain Village,9,https://mtnvillagealaska.com,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2270,AK,City of Nunam Iqua,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of Pilot Station,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of Russian Mission ,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of Scammon Bay,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,AK,City of St. Mary's,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2275,AK,Wrangell City and Borough,9,https://www.wrangell.com,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2282,AK,Yakutat City and Borough,9,https://yakutatak.govoffice2.com,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2290,AK,City of Allakaket,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Anvik,9,https://anviktribalcouncil.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Bettles,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Fort Yukon,9,https://www.fortyukon.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Galena,9,https://www.ci.galena.ak.us,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Grayling,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Holy Cross,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Hughes,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Huslia,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Kaltag,9,https://kaltag.weebly.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Koyukuk,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of McGrath,9,https://www.cityofmcgrath.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Nenana,9,https://www.cityofnenana.com,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Nikolai,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Nulato,9,http://www.nulatotribe.net,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Ruby,9,https://rubyalaska.info,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Shageluk,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,AK,City of Tanana,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
