fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
4001,AZ,Apache County,6,https://www.apachecountyaz.gov/,,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0
4003,AZ,Cochise County,3,https://www.cochise.az.gov/,,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0
4005,AZ,Coconino County,3,https://www.coconino.az.gov/,,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0
4007,AZ,Gila County,4,https://www.gilacountyaz.gov/,,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0
4009,AZ,Graham County,7,https://www.graham.az.gov/,,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0
4011,AZ,Greenlee County,7,https://www.co.greenlee.az.us/,,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0
4012,AZ,La Paz County,6,https://www.co.la-paz.az.us/,,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
4013,AZ,Maricopa County,1,https://www.maricopa.gov/,,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0
4015,AZ,Mohave County,3,https://www.mohave.gov/,,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0
4017,AZ,Navajo County,4,https://navajocountyaz.gov/,,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0
4019,AZ,Pima County,2,https://webcms.pima.gov/,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
4021,AZ,Pinal County,1,https://www.pinal.gov/,,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0
4023,AZ,Santa Cruz County,4,https://www.santacruzcountyaz.gov/,,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0
4025,AZ,Yavapai County,3,https://yavapaiaz.gov/,https://www.yavapaivotes.gov/,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
4027,AZ,Yuma County,3,https://www.yumacountyaz.gov/,,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
