fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
5001,AR,Arkansas County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5003,AR,Ashley County,7,https://www.ashleycountyar.com/,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5005,AR,Baxter County,7,https://www.baxtercounty.org/,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5007,AR,Benton County,2,https://bentoncountyar.gov/,https://vote.bentoncountyar.gov/,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0
5009,AR,Boone County,7,https://www.boonecountyar.com/,,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
5011,AR,Bradley County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5013,AR,Calhoun County,9,https://calhouncounty.arkansas.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5015,AR,Carroll County,6,http://carrollcounty.us/,,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0
5017,AR,Chicot County,7,https://chicotcounty.arkansas.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5019,AR,Clark County,7,https://www.clarkcountyarkansas.com/,,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
5021,AR,Clay County,7,https://www.claycountyarkansas.org/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5023,AR,Cleburne County,6,https://www.cleburnecountyar.com/,,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
5025,AR,Cleveland County,3,https://clevelandcounty.arkansas.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5027,AR,Columbia County,7,https://www.countyofcolumbia.org/,,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
5029,AR,Conway County,6,https://conwaycountyar.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5031,AR,Craighead County,3,http://www.craigheadclerk.com/,https://craigheadcountyar.gov/residential/elections#election_date,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0
5033,AR,Crawford County,2,https://www.crawford-county.org/,,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5035,AR,Crittenden County,1,http://crittenden.ark.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5037,AR,Cross County,6,https://www.crosscountyar.org/,,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
