fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
6001,CA,Alameda County,1,http://www.acgov.org/,https://www.acvote.org/,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0
6003,CA,Alpine County,8,http://www.alpinecountyca.gov/,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6005,CA,Amador County,6,https://www.amadorgov.org/,,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0
6007,CA,Butte County,3,https://www.buttecounty.net/,https://buttevotes.net/,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1
6009,CA,Calaveras County,6,https://www.calaverasgov.us/,,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0
6011,CA,Colusa County,6,https://www.countyofcolusa.org/,,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1
6013,CA,Contra Costa County,1,https://www.contracosta.ca.gov/,,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
6015,CA,Del Norte County,7,https://www.co.del-norte.ca.us/,,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0
6017,CA,El Dorado County,1,https://www.edcgov.us/,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
6019,CA,Fresno County,2,https://www.co.fresno.ca.us/,,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0
6021,CA,Glenn County,6,https://www.countyofglenn.net/,,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1
6023,CA,Humboldt County,5,https://humboldtgov.org/,,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0
6025,CA,Imperial County,3,https://imperialcounty.org/,,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0
6027,CA,Inyo County,7,https://www.inyocounty.us/,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
6029,CA,Kern County,2,https://www.kerncounty.com/,https://kernvote.com/,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0
6031,CA,Kings County,3,https://www.countyofkings.com/,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
