state_abbv,n_abs_nonret,n_abs_rej_all_ballots,n_eavs_completeness,n_eric_membership,n_nonvoter_illness_onyear_new,n_nonvoter_reg_pct,n_online_reg,n_pct_reg_of_vep_vrs,n_post_election_audit,n_prov_partic,n_prov_rej_all,n_reg_rej,n_residual,n_risk_limiting_audits,n_uocava_nonret,n_uocava_rej,n_vep_turnout,n_wait,n_website,state,index
"AK",.549152,.9075704,1,1,.6194057,.7084143,1,.7736409,1,.7524254,.9654887,.8228627,.9047286,,.7200477,.9741138,.7037177,.817355,.8,"Alaska",.83438462
"AL",,,.8803726,1,.2586533,.6596164,1,.7076592,0,.9498737,.8565541,.9819815,.9604919,,.592489,.9793935,.5545146,.6811514,1,"Alabama",.75392193
"AR",.951859,.6357488,.9496029,,.4720136,.6804643,0,.5118089,1,.8691446,.7928661,.9994041,.935335,,,,.3677406,.8548123,.6,"Arkansas",.70805335
"AZ",.617884,.8811576,1,1,1,.5904641,1,.658249,1,.8879773,.692377,.9315279,.7652652,,.7389901,.9948061,.6284442,.9286011,.8,"Arizona",.83976352
"CA",,.7193715,.8629141,,.4611261,.5201778,1,.6007448,1,,,.8304563,.6112784,,.2299457,.9690533,.6968129,.9353184,.8,"California",.73122853
"CO",,.517089,1,1,.757793,.5019953,1,.8672138,1,.9992156,.9969826,.9854279,.7267557,1,.3810454,.9413452,.9061507,.9893779,1,"Colorado",.86502177
"CT",.564071,.8139083,.9400161,1,.6648704,.6118789,1,.7382396,1,.9992398,.9977036,,.5021335,,.6306027,.9530099,.775849,.8584499,1,"Connecticut",.826469
"DC",,.8899069,1,1,.2091216,.6131316,1,1,1,.9332891,.8046566,.9584383,.8779211,,.7012345,.9963928,.57984,.945268,1,"District of Columbia",.85348237
"DE",.7073898,.7813937,1,1,.2795426,.7192256,1,.7281386,1,.9935923,.9667411,.8773081,.7663323,,.7129622,.8979003,.7543303,.4718341,1,"Delaware",.8142606
"FL",.5032414,.9365787,.9968572,1,.7099569,.7680913,1,.6867507,1,.9858435,.9366738,.8506194,.856663,,.6658595,.9637566,.7804635,.7692147,.6,"Florida",.83392054
"GA",.4220692,.9527312,.9996231,1,.6237717,.551047,1,.6818641,1,.9726558,.9353368,.9908605,.8928883,1,.4034747,.958446,.6843408,.6238699,1,"Georgia",.82594627
"HI",,.745342,.981145,,.8836758,.2823346,1,.4515665,1,.9998425,.9994602,,.7937072,,.6174123,.9801325,.4061753,1,1,"Hawaii",.80938625
"IA",.8891971,.9215422,1,1,.3750235,.8866915,1,.8192577,1,.9919276,.9843455,.9900484,.8973516,,.7840358,.9899025,.8223565,.8895686,.6,"Iowa",.88006938
"ID",.7096488,.7598659,.8650624,,.6572496,.8149326,1,.4046699,1,1,1,,.6976796,,,,.6824593,.9029808,.75,"Idaho",.80318207
"IL",.7780373,.703458,.9926044,,.7783805,.7258807,1,.7395713,1,.9375867,.9330091,.9125531,.7559251,,.6649526,.9611748,.6575772,.8514448,.6,"Illinois",.82306796
"IN",.9690569,.9536066,.9967892,,.3724793,.714489,1,.4750139,1,.9862912,.9306666,.943722,.7318239,,.7409021,.992285,.5080289,.3164692,1,"Indiana",.80186021
"KS",.5400909,,.8928932,,.5079801,.6686525,1,.566753,1,.7360858,.5468614,,,,.8210708,.9907815,.6268627,.8981495,.6,"Kansas",.74258441
"KY",.8951402,.9256427,.9998555,1,.1626528,.7613572,1,.7026095,1,.9964284,.9774306,.1005862,,,.5517179,.9978582,.6024888,.9192362,1,"Kentucky",.7995885
"LA",.4273778,.9454211,1,1,.3291461,.6871923,1,.6986923,0,.9909375,.9537281,.9522636,.7781633,,.4185029,.9151989,.5855359,.7474488,1,"Louisiana",.74608934
"MA",.8012806,.8559532,.9997774,,.3208242,.6982908,1,.8419549,1,.9909994,.9630935,.9352971,.8477659,,.7739518,.9887505,.7922601,.9439925,.8,"Massachusetts",.85612893
"MD",.7422135,.9524933,1,1,.0734628,.794211,1,.8835108,1,.7208029,.9371644,.9977976,.8449096,,.5450748,.9742509,.7656242,.7350883,1,"Maryland",.831478
"ME",.9379332,.9167404,1,,.6818269,.9237958,0,.7308121,0,1,1,.9932274,.7553352,,.8014731,.9926329,.9037685,.9092788,1,"Maine",.79687202
"MI",.8151579,.8037699,1,1,.5818043,.7113626,1,.7910284,1,.999271,.9957255,.9984049,.8736888,,.7029776,.9085897,.8395895,.8482201,.8,"Michigan",.87053281
"MN",.6316675,.8509516,1,1,.3172715,.9557165,1,.8477928,1,1,1,.999393,.914729,,.6857851,.9327605,1,.822971,1,"Minnesota",.88661325
"MO",.9304066,.9120101,.9634578,1,.4343099,.7204149,1,.7296183,1,.9896849,.9562982,,,,.6530882,.9805933,.6236679,.6811219,.6,"Missouri",.82341701
"MS",.9277821,.7763874,.999666,,.5454434,.4703315,0,.7449273,0,.901077,.7664437,.9966527,,,.6404474,1,.4763495,.7270033,.6,"Mississippi",.66078198
"MT",.6616679,.8623983,.9995049,,.8702781,.2852417,0,.7272834,1,.9897232,.960614,.9918031,.6735134,,.7668734,.9948754,.8185306,.9806694,.8,"Montana",.78723395
"NC",.372347,.9313073,1,,.4602197,.4697439,1,.6687736,1,.9439904,.7704961,.8610329,.9421818,,.033897,.9689575,.7755077,.7525653,1,"North Carolina",.76182473
"ND",.6712663,.931455,.9913651,,.794527,.8441029,,,1,1,1,,.8603747,,.7512019,.9779547,.5896122,.8798954,1,"North Dakota",.8779825
"NE",.90927,.9116061,.9992698,,.6829127,.7391251,1,.6671387,1,.8968571,.8329366,.9967898,.7493556,,.8008366,.9878926,.7334468,.9144881,1,"Nebraska",.87187797
"NH",.9399449,.8702546,.999616,,.3061982,1,0,.6722147,0,1,1,1,.7275234,,.7929299,.9494231,.880864,.8450886,1,"New Hampshire",.76376808
"NJ",,.3970329,1,,.2777449,.7161249,1,.8931314,1,.4784697,.838729,.9529437,.5401878,,0,.9861916,.8758115,.9757921,1,"New Jersey",.74575996
"NM",.797178,0,.9999451,1,.9250488,.6723361,1,.4362484,1,.9783374,.8886611,.9847193,.9204624,,1,.9774317,.5049638,.6361351,1,"New Mexico",.81785929
