fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
12001,FL,Alachua County,2,https://www.votealachua.com/,,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0
12003,FL,Baker County,1,https://www.bakerelections.com/,,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0
12005,FL,Bay County,3,https://www.bayvotes.org/,,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
12007,FL,Bradford County,6,https://www.votebradfordfl.gov/,,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
12009,FL,Brevard County,2,https://www.votebrevard.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12011,FL,Broward County,1,https://www.browardvotes.gov/,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
12013,FL,Calhoun County,6,https://www.votecalhoun.com/,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
12015,FL,Charlotte County,3,https://www.soecharlottecountyfl.gov/,,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
12017,FL,Citrus County,3,https://www.votecitrus.gov/,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
12019,FL,Clay County,1,https://www.clayelections.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12021,FL,Collier County,2,https://www.colliervotes.gov/,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
12023,FL,Columbia County,4,https://www.votecolumbia.com/,,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
12027,FL,DeSoto County,6,https://www.votedesoto.com/,,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0
12029,FL,Dixie County,6,https://www.dixievotes.com/,,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0
12031,FL,Duval County,1,https://www.duvalelections.com/,,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
12033,FL,Escambia County,2,https://escambiavotes.gov/,,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
12035,FL,Flagler County,2,https://www.flaglerelections.gov/,,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1
12037,FL,Franklin County,6,https://www.votefranklin.com/,,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
12039,FL,Gadsden County,2,https://www.gadsdensoe.com/,,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
12041,FL,Gilchrist County,2,https://www.votegilchrist.com/,,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1
12043,FL,Glades County,6,https://www.voteglades.com/,,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0
12045,FL,Gulf County,3,https://www.votegulf.com/,https://www.votegulf.gov/,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
12047,FL,Hamilton County,6,https://www.hamiltonvotes.com/,,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1
12049,FL,Hardee County,6,https://www.hardeecountyelections.com/,,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1
12051,FL,Hendry County,4,https://www.hendryelections.org/,,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1
12053,FL,Hernando County,1,https://www.hernandovotes.gov/,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12055,FL,Highlands County,3,https://www.votehighlands.com/,,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0
12057,FL,Hillsborough County,1,https://www.votehillsborough.gov/,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
12059,FL,Holmes County,6,https://www.holmeselections.com/,,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0
12061,FL,Indian River County,3,https://www.voteindianriver.gov/,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
12063,FL,Jackson County,6,https://www.jacksoncountysoe.org/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12065,FL,Jefferson County,2,https://www.jeffersonvotes.com/,,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1
12067,FL,Lafayette County,9,https://www.lafayettevotes.net/,,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1
12069,FL,Lake County,1,https://www.lakevotes.com/,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
12071,FL,Lee County,2,https://www.lee.vote/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12073,FL,Leon County,2,https://www.leonvotes.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
12075,FL,Levy County,6,https://www.votelevy.gov/,,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
12077,FL,Liberty County,8,https://www.libertyelections.com/,,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
12079,FL,Madison County,6,https://www.votemadison.com/,,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
12081,FL,Manatee County,2,https://www.votemanatee.com/,,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
12083,FL,Marion County,2,https://www.votemarion.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12085,FL,Martin County,2,https://www.martinvotes.gov/,,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
12086,FL,Miami-Dade County,1,https://www.miamidade.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
12087,FL,Monroe County,4,https://www.keys-elections.org/,,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
12089,FL,Nassau County,1,https://www.votenassaufl.gov/,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
12091,FL,Okaloosa County,3,https://www.govote-okaloosa.com/,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
12093,FL,Okeechobee County,4,https://www.voteokeechobee.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12095,FL,Orange County,1,https://www.ocfelections.com/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12097,FL,Osceola County,1,https://www.voteosceola.gov/en-us/,,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
12099,FL,Palm Beach County,1,https://www.votepalmbeach.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12101,FL,Pasco County,1,https://www.pascovotes.gov/,,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
12103,FL,Pinellas County,1,https://www.votepinellas.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12105,FL,Polk County,2,https://www.polkelections.com/,,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0
12107,FL,Putnam County,4,https://soe.putnam-fl.com/,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
12109,FL,St. Johns County,1,https://www.votesjc.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12111,FL,St. Lucie County,2,https://www.slcelections.com/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12113,FL,Santa Rosa County,2,https://www.votesantarosa.com/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12115,FL,Sarasota County,2,https://www.sarasotavotes.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
12117,FL,Seminole County,1,https://www.voteseminole.gov/,,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0
12119,FL,Sumter County,3,https://www.sumterelections.org/,,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0
12121,FL,Suwannee County,6,https://www.suwanneevotes.com/,,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0
12123,FL,Taylor County,6,https://www.taylorelections.com/,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
12125,FL,Union County,6,https://www.unionflvotes.com/,,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1
12127,FL,Volusia County,2,https://www.volusiaelections.gov/,,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
12129,FL,Wakulla County,2,https://www.wakullaelectionfl.gov/,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
12131,FL,Walton County,3,https://www.votewalton.com/,,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0
12133,FL,Washington County,6,https://www.wcsoe.org/,,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
