fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
13001,GA,Appling County,7,https://applingcountyga.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13003,GA,Atkinson County,9,https://atkinsoncounty.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13005,GA,Bacon County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13007,GA,Baker County,3,https://www.bakercountyga.com/,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13009,GA,Baldwin County,4,https://www.baldwincountyga.com/,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13011,GA,Banks County,8,https://www.bankscountyga.org/,,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
13013,GA,Barrow County,1,https://www.barrowga.org/,,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
13015,GA,Bartow County,1,https://www.bartowcountyga.gov/,,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
13017,GA,Ben Hill County,7,https://www.benhillcounty-ga.gov/,,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
13019,GA,Berrien County,6,https://berriencountygeorgia.com/,,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
13021,GA,Bibb County,3,https://www.maconbibb.us/,,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0
13023,GA,Bleckley County,6,https://bleckley.org/,https://www.bleckleyprobatecourt.com/,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
13025,GA,Brantley County,3,https://brantleycounty-ga.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13027,GA,Brooks County,3,https://brookscountyga.gov/,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13029,GA,Bryan County,2,https://www.bryancountyga.org/,,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0
13031,GA,Bulloch County,4,https://bullochcounty.ne,,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0
13033,GA,Burke County,2,https://burkecounty-ga.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13035,GA,Butts County,1,https://buttscountyga.com/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13037,GA,Calhoun County,8,https://calhouncountyga.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13039,GA,Camden County,4,https://www.camdencountyga.gov/,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
13043,GA,Candler County,7,https://metter-candlercounty.com/,,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13045,GA,Carroll County,1,https://www.carrollcountyga.com/,,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0
13047,GA,Catoosa County,2,https://www.catoosa.com/,,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0
13049,GA,Charlton County,6,https://charltoncountyga.us/,,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
13051,GA,Chatham County,2,https://www.chathamcountyga.gov/,,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0
13053,GA,Chattahoochee County,2,https://ugoccc.com/,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13055,GA,Chattooga County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13057,GA,Cherokee County,1,https://www.cherokeega.com/,https://cherokeegavotes.com/,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0
13059,GA,Clarke County,3,https://www.accgov.com/,,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
13061,GA,Clay County,9,https://www.claycountyga.net/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13063,GA,Clayton County,1,https://www.claytoncountyga.gov/,,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0
13065,GA,Clinch County,6,https://clinchcountyga.gov/index.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13067,GA,Cobb County,1,https://www.cobbcounty.org/,,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0
13069,GA,Coffee County,7,https://www.coffeecountypay.com/,https://qpublic.net/,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
13071,GA,Colquitt County,6,https://www.colquittcountyga.gov/,,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
13073,GA,Columbia County,2,https://www.columbiacountyga.gov/,,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0
13075,GA,Cook County,6,https://cookcountyga.us/,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
13077,GA,Coweta County,1,https://www.coweta.ga.us/,,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
13079,GA,Crawford County,3,https://www.crawfordcountyga.org/,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
13081,GA,Crisp County,6,https://crispcounty.com/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13083,GA,Dade County,2,https://www.dadecounty-ga.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13085,GA,Dawson County,1,https://www.dawsoncountyga.gov/,,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
13087,GA,Decatur County,6,https://www.decaturcountyga.gov/,,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
13089,GA,DeKalb County,1,https://www.dekalbcountyga.gov/,,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0
