fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
16001,ID,Ada County,2,https://adacounty.id.gov/,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
16003,ID,Adams County,9,https://www.co.adams.id.us/,,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
16005,ID,Bannock County,3,https://www.bannockcounty.us/,,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0
16007,ID,Bear Lake County,9,https://www.bearlakecounty.info/,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
16009,ID,Benewah County,6,https://www.benewahcountyid.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16011,ID,Bingham County,4,https://www.co.bingham.id.us/,,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
16013,ID,Blaine County,7,https://www.co.blaine.id.us/,,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
16015,ID,Boise County,2,https://www.boisecounty.us/,,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0
16017,ID,Bonner County,6,https://cloudgis.bonnercountyid.gov/portal/apps/sites/#/electionshub,,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0
16019,ID,Bonneville County,3,https://www.bonnevillecountyidaho.gov/,,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
16021,ID,Boundary County,7,http://boundarycountyid.org/,,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
16023,ID,Butte County,3,https://www.buttecountyid.us/,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16025,ID,Camas County,9,http://camascounty.id.gov/,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16027,ID,Canyon County,2,https://www.canyoncounty.id.gov/,,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0
