fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
17001,IL,Adams County,5,https://www.co.adams.il.us/,,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0
17003,IL,Alexander County,3,https://alexandercounty.illinois.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17005,IL,Bond County,1,https://bondcountyil.gov/county-clerk,,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
17007,IL,Boone County,2,https://www.boonecountyil.gov/,,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0
17009,IL,Brown County,7,https://www.browncoil.org/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17011,IL,Bureau County,7,https://www.bureaucounty-il.gov/,https://bureaucountyclerk.com/,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
17013,IL,Calhoun County,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17015,IL,Carroll County,7,https://www.carrollcountyil.gov/index.php,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
17017,IL,Cass County,6,https://co.cass.il.us/elected-officials/county-clerk-recorder,,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0
17019,IL,Champaign County,3,https://champaigncountyclerkil.gov/,,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0
17021,IL,Christian County,6,https://www.christiancountyil.gov/county-clerk-recorder/,,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0
17023,IL,Clark County,6,https://www.clarkcountyil.org/elections,,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
17025,IL,Clay County,7,https://claycountyillinois.org/clerkrecorder/,,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
17027,IL,Clinton County,1,https://clintonco.illinois.gov/,,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
17029,IL,Coles County,5,https://www.colesco.illinois.gov/,,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
17031,IL,Cook County,1,https://www.cookcountyclerkil.gov/,,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0
17033,IL,Crawford County,7,https://crawfordcountyil.org/,,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
17035,IL,Cumberland County,9,https://cumberlandcoil.gov/,,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
17037,IL,DeKalb County,1,http://dekalb.il.clerkserve.com/,,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
17039,IL,De Witt County,3,https://www.dewittcountyill.com/,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17041,IL,Douglas County,6,https://douglascountyil.gov/,,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
17043,IL,DuPage County,1,https://www.dupagecounty.gov/,,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
17045,IL,Edgar County,6,http://edgarcountyillinois.com/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
17047,IL,Edwards County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17049,IL,Effingham County,7,http://www.co.effingham.il.us/,,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
17051,IL,Fayette County,6,https://www.fayettecountyillinois.gov/,,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
17053,IL,Ford County,3,fordcounty.illinois.gov,,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
17055,IL,Franklin County,4,https://franklincountyil.gov/,,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0
17057,IL,Fulton County,6,https://www.fultonco.org/,https://fultoncountyilelections.gov/,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0
17059,IL,Gallatin County,8,https://gallatinco.illinois.gov/,,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0
17061,IL,Greene County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17063,IL,Grundy County,1,https://www.grundycountyil.gov/,,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
17065,IL,Hamilton County,7,https://www.hamiltoncountyil.gov/,,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
17067,IL,Hancock County,7,www.hancockcounty-il.gov,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
17069,IL,Hardin County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17071,IL,Henderson County,9,http://www.hendersoncountyedc.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17073,IL,Henry County,2,https://www.henrycty.com/,,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0
17075,IL,Iroquois County,6,iroquoiscountyil.gov/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
17077,IL,Jackson County,3,https://www.jacksoncounty-il.gov/,,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
17079,IL,Jasper County,7,https://jaspercountyillinois.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17081,IL,Jefferson County,7,http://www.jeffersoncountyillinois.com/,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
17083,IL,Jersey County,1,https://jerseycountyillinois.us/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
17085,IL,Jo Daviess County,6,https://www.jodaviesscountyil.gov/,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
17087,IL,Johnson County,8,http://votejohnsoncounty.com/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17089,IL,Kane County,1,https://www.countyofkane.org/,,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0
17091,IL,Kankakee County,3,https://www.k3county.net/,,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0
17093,IL,Kendall County,1,https://www.kendallcountyil.gov/,,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
