fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
18001,IN,Adams County,6,https://www.co.adams.in.us/,,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0
18003,IN,Allen County,2,https://www.allencounty.us/,https://allencountyinvoters.gov/,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
18005,IN,Bartholomew County,3,https://www.bartholomew.in.gov/,,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18007,IN,Benton County,3,https://www.bentoncounty.in.gov/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
18009,IN,Blackford County,6,https://www.blackfordcounty.com/,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18011,IN,Boone County,1,https://boonecounty.in.gov/,,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0
18013,IN,Brown County,1,http://www.browncounty-in.gov/,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18015,IN,Carroll County,3,https://www.carrollcountygovernment.org/,https://electioncarrollcountyindiana.weebly.com/,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0
18017,IN,Cass County,4,https://www.co.cass.in.us/,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
18019,IN,Clark County,1,https://www.co.clark.in.us/ ,,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0
18021,IN,Clay County,3,https://www.claycountyin.gov/,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
18023,IN,Clinton County,6,https://www.clintonco.com/,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18025,IN,Crawford County,8,http://gov.crawfordcounty13.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18027,IN,Daviess County,7,https://www.daviess.org/,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18029,IN,Dearborn County,1,https://www.dearborncounty.org/,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18031,IN,Decatur County,6,http://www.decaturcounty.in.gov/,,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18033,IN,DeKalb County,4,https://www.co.dekalb.in.us/,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
18035,IN,Delaware County,3,https://www.co.delaware.in.us/,,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0
18037,IN,Dubois County,5,https://www.duboiscountyin.org/,,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
18039,IN,Elkhart County,3,https://elkhartcounty.com/en/,,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
18041,IN,Fayette County,6,https://www.connersvillecommunity.com/fayette-county/,,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
18043,IN,Floyd County,1,https://www.floydcounty.in.gov/,https://www.floydcountyclerk.org/,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
18045,IN,Fountain County,6,https://www.fountaincounty.net/,,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0
18047,IN,Franklin County,6,https://www.franklincounty.in.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18049,IN,Fulton County,7,https://www.co.fulton.in.us/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18051,IN,Gibson County,6,http://gibsoncounty-in.gov/,,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
18053,IN,Grant County,4,https://www.grantcounty.net/,,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
18055,IN,Greene County,6,https://www.co.greene.in.us/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18057,IN,Hamilton County,1,https://www.hamiltoncounty.in.gov/,,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0
18059,IN,Hancock County,1,https://www.hancockin.gov/,,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
18061,IN,Harrison County,1,https://harrisoncounty.in.gov/,,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
18063,IN,Hendricks County,1,https://www.co.hendricks.in.us/,,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
18065,IN,Henry County,4,www.henryco.net,,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
18067,IN,Howard County,3,http://www.howardcountyin.gov/,,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
18069,IN,Huntington County,6,https://www.huntington.in.us/,,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
18071,IN,Jackson County,4,https://www.jacksoncounty.in.gov/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
18073,IN,Jasper County,1,https://www.jaspercountyin.gov/,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18075,IN,Jay County,6,https://jaycounty.net/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18077,IN,Jefferson County,6,https://jeffersoncounty.in.gov/,,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0
18079,IN,Jennings County,6,https://jenningscounty-in.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18081,IN,Johnson County,1,https://co.johnson.in.us/,,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0
18083,IN,Knox County,5,https://knoxcounty.in.gov/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18085,IN,Kosciusko County,4,https://www.kcgov.com/,,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18087,IN,LaGrange County,6,https://www.lagrangecounty.org/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18089,IN,Lake County,1,https://lakecounty.in.gov/,,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
18091,IN,LaPorte County,3,https://laporteco.in.gov/,,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
