fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
19001,IA,Adair County,8,https://www.adaircounty.iowa.gov/,,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0
19003,IA,Adams County,9,https://adamscounty.iowa.gov/,,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0
19005,IA,Allamakee County,6,https://allamakeecounty.iowa.gov/,https://allamakeecountyelections.iowa.gov/,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
19007,IA,Appanoose County,7,https://appanoosecounty.iowa.gov/,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19009,IA,Audubon County,8,https://www.auduboncountyia.gov/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19011,IA,Benton County,2,https://www.bentoncountyia.gov/,https://elections.bentoncountyia.gov/,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
19013,IA,Black Hawk County,3,https://blackhawkcountyelections.iowa.gov/,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
19015,IA,Boone County,6,https://www.boonecounty.iowa.gov/,,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0
19017,IA,Bremer County,3,https://www.bremercounty.iowa.gov/,,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0
19019,IA,Buchanan County,6,https://www.buchanancounty.iowa.gov/,,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
19021,IA,Buena Vista County,7,https://bvcountyelections.iowa.gov/,,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0
19023,IA,Butler County,8,https://butlercounty.iowa.gov/,,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0
19025,IA,Calhoun County,9,https://www.calhouncounty.iowa.gov/,,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0
19027,IA,Carroll County,7,https://www.carrollcountyiowa.gov/,,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
19029,IA,Cass County,6,https://www.casscountyia.gov/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
