fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
20001,KS,Allen County,7,https://www.allencounty.org/,,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0
20003,KS,Anderson County,6,http://andersoncountyks.org/,,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0
20005,KS,Atchison County,6,https://www.atchisoncountyks.org/,,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
20007,KS,Barber County,9,https://barber.ks.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20009,KS,Barton County,7,https://www.bartoncounty.org/,,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0
20011,KS,Bourbon County,6,https://www.bourboncountyks.org/,,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0
20013,KS,Brown County,6,https://www.brcoks.org/,,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
20015,KS,Butler County,2,https://www.bucoks.com/,https://elections-hub-bucogis.hub.arcgis.com/,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0
20017,KS,Chase County,9,https://www.chasecountyks.com/,,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0
20019,KS,Chautauqua County,8,https://www.chautauquacountyks.com/,,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
20021,KS,Cherokee County,6,https://cherokeecountyks.gov/,,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0
20023,KS,Cheyenne County,9,https://cncoks.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20025,KS,Clark County,9,https://clarkcountyks.publicaccessnow.com/,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20027,KS,Clay County,6,https://www.claycountykansas.org/,,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
20029,KS,Cloud County,7,http://www.cloudcountyks.org/main/,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
20031,KS,Coffey County,6,https://www.coffeycountyks.org/,,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0
20033,KS,Comanche County,9,http://www.comanchecoks.org/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20035,KS,Cowley County,4,https://www.cowleycountyks.gov/,,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0
20037,KS,Crawford County,4,https://www.crawfordcountykansas.org/,,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0
20039,KS,Decatur County,9,https://www.dccoks.org/,,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
20041,KS,Dickinson County,7,https://www.dkcoks.gov/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20043,KS,Doniphan County,3,https://dpcountyks.com/,,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
20045,KS,Douglas County,3,https://www.douglascountyks.org/,,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0
20047,KS,Edwards County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20049,KS,Elk County,8,https://www.elkcountyks.org/,,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
20051,KS,Ellis County,5,https://www.ellisco.net/,,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
20053,KS,Ellsworth County,7,http://www.ellsworthcounty.org/,,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
20055,KS,Finney County,5,https://www.finneycounty.org/,,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
20057,KS,Ford County,5,https://www.fordcounty.net/,,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
20059,KS,Franklin County,6,https://www.franklincoks.org/,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
