fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
21001,KY,Adair County,7,https://adair.clerkinfo.net/,,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
21003,KY,Allen County,3,https://allen.countyclerk.us/,,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
21005,KY,Anderson County,6,https://andersoncountyclerk.ky.gov/Pages/default.aspx,,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
21007,KY,Ballard County,9,https://ballard.clerkinfo.net/,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
21009,KY,Barren County,6,https://barren.countyclerk.us/,,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0
21011,KY,Bath County,8,https://bath.clerkinfo.net/,,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
21013,KY,Bell County,7,https://bellcountyclerk.ky.gov/Pages/default.aspx,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21015,KY,Boone County,1,https://www.booneclerk.com/,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
21017,KY,Bourbon County,2,https://bourbon.clerkinfo.net/,,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
21019,KY,Boyd County,2,https://boyd.kycountyclerk.us/,,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0
21021,KY,Boyle County,7,https://boyle.countyclerk.us/,,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
21023,KY,Bracken County,1,https://bracken.countyclerk.us/,,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0
21025,KY,Breathitt County,7,https://breathittcounty.ky.gov/Pages/index.aspx,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21027,KY,Breckinridge County,8,https://breckinridge.countyclerk.us/,,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
21029,KY,Bullitt County,1,https://www.bullittcountyclerk.com/,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21031,KY,Butler County,3,https://butlercounty.ky.gov/Pages/default.aspx,,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
21033,KY,Caldwell County,7,https://caldwellcounty.ky.gov/Pages/index.aspx,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21035,KY,Calloway County,7,https://calloway.clerkinfo.net/,,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
21037,KY,Campbell County,1,https://campbellcountyclerkky.com/,,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
21039,KY,Carlisle County,9,https://carlisle.countyclerk.us/,,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0
21041,KY,Carroll County,6,http://www.carrollcountygov.us/,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21043,KY,Carter County,6,http://www.cartercountyclerksoffice.org/,,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0
21045,KY,Casey County,9,https://casey.countyclerk.us/,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21047,KY,Christian County,2,https://christiancountyky.gov/,,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0
21049,KY,Clark County,2,https://clark.countyclerk.us/,,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0
