fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
24001,MD,Allegany County,3,https://alleganygov.org/,,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0
24003,MD,Anne Arundel County,1,https://www.aacounty.org/,,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0
24005,MD,Baltimore County,1,https://www.baltimorecountymd.gov/,,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
24009,MD,Calvert County,1,https://www.calvertcountymd.gov/,,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0
24011,MD,Caroline County,6,https://www.carolinemdelections.org/index.php,,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
24013,MD,Carroll County,1,https://elections.carrollcountymd.gov/Default2.aspx,,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
24015,MD,Cecil County,1,https://www.ccgov.org/government/election-board/voter-resources,,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
24017,MD,Charles County,1,https://www.charlescountymd.gov/home,,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0
24019,MD,Dorchester County,6,https://www.docomdelections.org/,,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
24021,MD,Frederick County,1,https://www.frederickcountymd.gov/,,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
24023,MD,Garrett County,6,https://www.garrettcounty.org/,,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0
24025,MD,Harford County,1,https://harfordvotes.gov/,,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0
24027,MD,Howard County,1,https://www.howardcountymd.gov/,,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0
24029,MD,Kent County,6,https://www.kentcountyelections.org/,,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
24031,MD,Montgomery County,1,https://www.montgomerycountymd.gov/elections/index2.html,,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
24033,MD,Prince George's County,1,https://www.princegeorgescountymd.gov/1,,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0
24035,MD,Queen Anne's County,1,https://qac.org/,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
24037,MD,St. Mary's County,3,https://www.stmarysmd.com/,,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0
24039,MD,Somerset County,2,https://www.somersetmd.us/,,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
