fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
26001,MI,Alcona County,9,https://alconacountymi.com/wp/,,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
26003,MI,Alger County,7,https://www.algercounty.gov,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26005,MI,Allegan County,4,https://www.allegancounty.org/home,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
26007,MI,Alpena County,7,https://www.alpenacounty.org/,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
26009,MI,Antrim County,9,https://www.antrimcounty.org/index.php,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
26011,MI,Arenac County,8,https://www.arenaccountymi.gov,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26013,MI,Baraga County,9,https://www.baragacounty.org/,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
26015,MI,Barry County,2,https://www.barrycounty.org,,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
26017,MI,Bay County,3,https://www.baycounty-mi.gov,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26019,MI,Benzie County,9,https://www.benzieco.net/index.php,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26021,MI,Berrien County,3,https://www.berriencounty.org,,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
26023,MI,Branch County,6,https://www.countyofbranch.com,,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
26025,MI,Calhoun County,3,https://www.calhouncountymi.gov,,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
26027,MI,Cass County,2,https://www.casscountymi.org,,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
26029,MI,Charlevoix County,7,https://www.charlevoixcounty.org,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26031,MI,Cheboygan County,7,https://www.cheboygancounty.net,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26033,MI,Chippewa County,7,https://www.chippewacountymi.gov/,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
