fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
28001,MS,Adams County,5,https://www.adamscountyms.net/,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
28003,MS,Alcorn County,7,http://alcorncounty.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28005,MS,Amite County,8,http://www.amitecounty.ms/,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28007,MS,Attala County,6,http://www.attalacounty.net/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28009,MS,Benton County,1,http://bentoncountyms.gov/,,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
28011,MS,Bolivar County,7,https://www.co.bolivar.ms.us/,https://bolivar-circuit-clerk.ms/,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0
28013,MS,Calhoun County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28015,MS,Carroll County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28017,MS,Chickasaw County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28019,MS,Choctaw County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28021,MS,Claiborne County,8,https://www.ccmsgov.us/,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28023,MS,Clarke County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28025,MS,Clay County,7,http://www.claycountyms.com/,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
28027,MS,Coahoma County,7,https://coahomacounty.net/,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28029,MS,Copiah County,2,http://copiahcounty.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28031,MS,Covington County,8,https://www.covingtoncountyms.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28033,MS,DeSoto County,1,https://www.desotocountyms.gov/,,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
28035,MS,Forrest County,3,https://forrestcountyms.us/,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
28037,MS,Franklin County,9,https://franklincoms.weebly.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28039,MS,George County,6,http://www.georgecountyms.com/,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28041,MS,Greene County,8,http://www.greenecountyms.gov/,https://www.greenecountycircuitclerk.com/,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
28043,MS,Grenada County,7,https://grenadacircuitclerk.webs.com/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28045,MS,Hancock County,2,https://hancockcounty.ms.gov/,,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
28047,MS,Harrison County,2,https://harrisoncountyms.gov/,,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0
28049,MS,Hinds County,2,https://www.hindscountyms.com/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
28051,MS,Holmes County,6,https://holmescountyms.org/,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
28053,MS,Humphreys County,6,https://humphreyscounty.ms/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28055,MS,Issaquena County,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28057,MS,Itawamba County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28059,MS,Jackson County,2,https://www.co.jackson.ms.us/,,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
28061,MS,Jasper County,9,https://www.co.jasper.ms.us/,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
28063,MS,Jefferson County,8,http://www.jeffersoncountyms.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28065,MS,Jefferson Davis County,8,http://www.jeffersondaviscountyms.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28067,MS,Jones County,4,https://jonescountyms.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28069,MS,Kemper County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28071,MS,Lafayette County,4,https://lafayettems.com/,,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0
28073,MS,Lamar County,3,https://lamarcountyms.gov/ms/,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28075,MS,Lauderdale County,5,https://lauderdalecounty.org/,,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
28077,MS,Lawrence County,8,https://lawrencecountyms.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28079,MS,Leake County,6,https://leakecountyms.org/,,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
28081,MS,Lee County,5,https://leecountycircuitclerk.com/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28083,MS,Leflore County,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28085,MS,Lincoln County,6,http://www.golincolnms.com/,http://www.dustinbairfield.com/,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28087,MS,Lowndes County,5,https://lowndescountyms.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
