fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form,Notes
29001,MO,Adair County,7,https://adaircountymissouri.com/ ,,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,
29003,MO,Andrew County,3,https://andrewcounty.org/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
29005,MO,Atchison County,9,https://www.atchisoncounty.org/,https://www.acmoelections.org/,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,
29007,MO,Audrain County,6,https://www.audraincounty.org/,,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,
29009,MO,Barry County,6,https://www.barrycoclerk.com/,,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,
29011,MO,Barton County,6,https://www.bartoncounty.com/,https://countyofbarton.gov/county-clerk,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
29013,MO,Bates County,1,https://batescounty.net/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,
29015,MO,Benton County,7,http://www.bentoncomo.com/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
29017,MO,Bollinger County,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29019,MO,Boone County,3,https://www.showmeboone.com/,,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,
29021,MO,Buchanan County,3,https://www.co.buchanan.mo.us/,,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,
29023,MO,Butler County,5,https://butlercountymo.com/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
29025,MO,Caldwell County,1,https://www.caldwellco.missouri.org/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
29027,MO,Callaway County,3,https://callawaycounty.org/,http://callawaycountyclerk.com/,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,
29029,MO,Camden County,7,https://www.camdenmo.org/,,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,
29031,MO,Cape Girardeau County,3,https://www.capecounty.us/,,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,
29033,MO,Carroll County,6,https://www.carrollcountymo.gov/,,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,
29035,MO,Carter County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29037,MO,Cass County,1,https://www.casscounty.com/,,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,
29039,MO,Cedar County,6,http://cedarcountymo.gov/,,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,
29041,MO,Chariton County,9,https://www.charitonco.com/,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nearly useless
29043,MO,Christian County,2,https://www.christiancountymo.gov/,,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,
