fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
31001,NE,Adams County,4,https://www.adamscounty.org/,,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
31003,NE,Antelope County,9,https://antelopecounty.nebraska.gov/,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31005,NE,Arthur County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31007,NE,Banner County,9,https://bannercountyne.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31009,NE,Blaine County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31011,NE,Boone County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31013,NE,Box Butte County,7,https://boxbuttecountyne.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
31015,NE,Boyd County,9,https://boydcounty.ne.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
31017,NE,Brown County,9,https://browncounty.ne.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
31019,NE,Buffalo County,4,https://buffalocounty.ne.gov/,,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
31021,NE,Burt County,8,https://burtcounty.ne.gov/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
31023,NE,Butler County,6,https://butlercountyne.gov/,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
31025,NE,Cass County,2,https://www.cassne.org/,,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
31027,NE,Cedar County,9,https://cedarcountyne.gov/,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31029,NE,Chase County,9,https://chasecounty.nebraska.gov/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31031,NE,Cherry County,7,https://cherrycountyne.gov/,,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
31033,NE,Cheyenne County,7,https://www.cheyennecountyne.net/,,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
31035,NE,Clay County,8,https://claycounty.ne.gov/,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
31037,NE,Colfax County,7,https://colfaxcountyne.gov/,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31039,NE,Cuming County,7,https://cumingcountyne.gov/,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
31041,NE,Custer County,7,https://custercountyne.gov/,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31043,NE,Dakota County,3,https://dakotacountyne.org/,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
31045,NE,Dawes County,7,https://dawes-county.com/,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
31047,NE,Dawson County,7,https://www.dawsoncountyne.org/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31049,NE,Deuel County,9,https://co.deuel.ne.us/,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
31051,NE,Dixon County,3,https://dixoncountyne.gov/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31053,NE,Dodge County,4,https://dodgecounty.nebraska.gov/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
31055,NE,Douglas County,2,https://www.douglascounty-ne.gov/,https://www.votedouglascounty.com/,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0
31057,NE,Dundy County,9,https://dundycounty.nebraska.gov/,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
31059,NE,Fillmore County,8,https://fillmorecountyne.gov/,,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
31061,NE,Franklin County,9,https://franklincountyne.gov/,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
31063,NE,Frontier County,9,https://co.frontier.ne.us/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31065,NE,Furnas County,9,https://furnascounty.ne.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31067,NE,Gage County,6,https://gagecountynebraska.us/,,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
31069,NE,Garden County,9,https://gardencounty.ne.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
