fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
32001,NV,Churchill County,6,https://www.churchillcountynv.gov/,,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0
32003,NV,Clark County,1,https://www.clarkcountynv.gov/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32005,NV,Douglas County,4,https://www.douglascountynv.gov/,https://cltr.douglasnv.us/,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
32007,NV,Elko County,5,https://www.elkocountynv.net/,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
32009,NV,Esmeralda County,9,https://www.accessesmeralda.com/,,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
32011,NV,Eureka County,9,https://www.co.eureka.nv.us/,,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
32013,NV,Humboldt County,7,https://www.humboldtcountynv.gov/,,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0
32015,NV,Lander County,7,https://www.landercountynv.org/,,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
32017,NV,Lincoln County,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32019,NV,Lyon County,4,https://www.lyon-county.org/,,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0
32021,NV,Mineral County,7,http://mineralcountynv.us/,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
32023,NV,Nye County,4,https://www.nyecountynv.gov/,,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
32027,NV,Pershing County,9,https://www.pershingcountynv.gov/,,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
