fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form,Notes
36001,NY,Albany County,2,https://www.albanycounty.com/home,,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,
36003,NY,Allegany County,7,https://www.alleganyco.gov/,,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,
36005,NY,Bronx County,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Is governed as a borough
36007,NY,Broome County,2,https://www.gobroomecounty.com,https://www.broomevotes.com,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,
36009,NY,Cattaraugus County,4,https://www.cattco.org,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,
36011,NY,Cayuga County,4,https://www.cayugacounty.us,,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,
36013,NY,Chautauqua County,4,https://chqgov.com,,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,
36015,NY,Chemung County,3,https://www.chemungcountyny.gov,,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,
36017,NY,Chenango County,6,http://www.co.chenango.ny.us,,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,
36019,NY,Clinton County,5,https://www.clintoncountygov.com,,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,
36021,NY,Columbia County,6,https://www.columbiacountyny.com,,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,
36023,NY,Cortland County,4,https://www.cortland-co.org,,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,
36025,NY,Delaware County,6,https://www.delcony.us,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,
36027,NY,Dutchess County,1,https://www.dutchessny.gov,,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,
36029,NY,Erie County,1,https://www4.erie.gov,,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,
36031,NY,Essex County,6,https://essexcountyny.gov,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,
36033,NY,Franklin County,7,https://www.franklincountyny.gov,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
36035,NY,Fulton County,4,https://www.fultoncountyny.gov/home-fulton-county,,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,
36037,NY,Genesee County,4,https://www.co.genesee.ny.us,,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,
36039,NY,Greene County,6,https://www.greenegovernment.com,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,
36041,NY,Hamilton County,8,https://www.hamiltoncounty.com,,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,
36043,NY,Herkimer County,2,https://www.herkimercounty.org,,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,
36045,NY,Jefferson County,3,https://co.jefferson.ny.us,,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,
36047,NY,Kings County,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Is governed as a borough
36049,NY,Lewis County,6,https://lewiscountyny.gov,,1,1,1,1,1,0,1,0,0,0,0,0,1,0,`1,0,1,1,
36051,NY,Livingston County,1,https://www.livingstoncounty.us,,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,
36053,NY,Madison County,2,https://www.madisoncounty.ny.gov,,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,
36055,NY,Monroe County,1,https://www.monroecounty.gov,,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,
36057,NY,Montgomery County,4,https://www.co.montgomery.ny.us,,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,
36059,NY,Nassau County,1,https://www.nassaucountyny.gov,,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,
36061,NY,New York County,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Is governed as a borough
36063,NY,Niagara County,1,https://www.niagaracounty.com,,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,
36065,NY,Oneida County,2,https://ocgov.net,,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,
36067,NY,Onondaga County,2,http://www.ongov.net,,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,
36069,NY,Ontario County,1,https://ontariocountyny.gov,,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,
36071,NY,Orange County,1,https://www.orangecountygov.com,,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,
36073,NY,Orleans County,1,https://www.orleanscountyny.gov,,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,
36075,NY,Oswego County,2,https://www.oswegocounty.com,,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,
36077,NY,Otsego County,7,https://www.otsegocounty.com,,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,
36079,NY,Putnam County,1,https://www.putnamcountyny.com,,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,
36081,NY,Queens County,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Is governed as a borough
36083,NY,Rensselaer County,2,https://www.rensco.com,,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,
36085,NY,Richmond County,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Is governed as a borough
36087,NY,Rockland County,1,https://rocklandgov.com,,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,
36089,NY,St. Lawrence County,4,https://stlawco.gov/Departments/CountyClerk,,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,
36091,NY,Saratoga County,2,https://www.saratogacountyny.gov,,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,
36093,NY,Schenectady County,2,https://www.schenectadycountyny.gov,,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,
36095,NY,Schoharie County,2,https://www4.schohariecounty-ny.gov,,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,
36097,NY,Schuyler County,6,https://www.schuylercounty.us,,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,
36099,NY,Seneca County,6,https://www.co.seneca.ny.us,,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,
36101,NY,Steuben County,4,https://www.steubencountyny.gov,,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,
36103,NY,Suffolk County,1,https://suffolkcountyny.gov,,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,
