fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
37001,NC,Alamance County,3,https://www.alamance-nc.com/elections/,,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0
37003,NC,Alexander County,2,https://alexandercountync.gov/,,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0
37005,NC,Alleghany County,9,https://alleghanyelections.com/,,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
37007,NC,Anson County,6,https://www.co.anson.nc.us/,,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
37009,NC,Ashe County,7,https://www.ashecountygov.com/,,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0
37011,NC,Avery County,8,https://www.averycountync.gov/,,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
37013,NC,Beaufort County,6,https://beaufortncboe.org/,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
37015,NC,Bertie County,7,http://www.co.bertie.nc.us/,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
37017,NC,Bladen County,6,https://bladennc.govoffice3.com/,,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0
37019,NC,Brunswick County,2,https://www.brunswickcountync.gov/,,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0
37021,NC,Buncombe County,2,https://www.buncombecounty.org/default.aspx,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
37023,NC,Burke County,2,https://www.burkenc.org/,,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
37025,NC,Cabarrus County,1,https://www.cabarruscounty.us/Home,,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
37027,NC,Caldwell County,2,https://www.caldwellcountync.org/,,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
37029,NC,Camden County,8,https://www.camdencountync.gov/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
37031,NC,Carteret County,4,https://www.carteretcountync.gov/,,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0
37033,NC,Caswell County,8,https://www.caswellcountync.gov/,,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
37035,NC,Catawba County,2,https://www.catawbacountync.gov/,,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0
37037,NC,Chatham County,2,https://www.chathamcountync.gov/home,,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
37039,NC,Cherokee County,9,https://www.cherokeecounty-nc.gov/,,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0
37041,NC,Chowan County,6,https://www.chowancounty-nc.gov/,,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37043,NC,Clay County,9,https://www.claycountyboardofelections.com/,,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0
37045,NC,Cleveland County,4,https://www.clevelandcounty.com/main/,,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
37047,NC,Columbus County,6,https://columbusco.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37049,NC,Craven County,3,https://www.cravencountync.gov/,,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0
37051,NC,Cumberland County,2,https://www.cumberlandcountync.gov/home,,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0
37053,NC,Currituck County,1,https://currituckcountync.gov/,,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
37055,NC,Dare County,4,https://www.darenc.gov/home,,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
37057,NC,Davidson County,2,https://votedavidsoncountync.com/home-page,,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0
37059,NC,Davie County,2,https://www.daviecountync.gov/,,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0
37061,NC,Duplin County,6,https://www.duplincountync.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37063,NC,Durham County,2,https://www.dcovotes.com/board-of-elections-home,,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0
37065,NC,Edgecombe County,3,https://www.edgecombecountync.gov/,,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
37067,NC,Forsyth County,2,https://forsyth.cc/,,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0
37069,NC,Franklin County,1,https://www.franklincountync.gov/,,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0
37071,NC,Gaston County,1,https://www.gastongov.com/,,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0
37073,NC,Gates County,1,https://gatescountync.gov/,,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
