fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
38001,ND,Adams County,9,https://www.adamscountynd.com/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38003,ND,Barnes County,6,http://www.co.barnes.nd.us/,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38005,ND,Benson County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38007,ND,Billings County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38009,ND,Bottineau County,9,https://www.bottineauco.com/,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
38011,ND,Bowman County,9,https://bowmannd.com/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38013,ND,Burke County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38015,ND,Burleigh County,3,https://www.burleighco.com/,,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
38017,ND,Cass County,3,https://www.casscountynd.gov/,,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
38019,ND,Cavalier County,9,https://cavaliercounty.us/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38021,ND,Dickey County,9,https://dickeynd.com/,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38023,ND,Divide County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38025,ND,Dunn County,9,https://www.dunncountynd.org/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
38027,ND,Eddy County,9,https://www.eddycountynd.org/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38029,ND,Emmons County,8,http://www.emmonsnd.com/,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
38031,ND,Foster County,9,https://fostercounty.com/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38033,ND,Golden Valley County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38035,ND,Grand Forks County,3,https://www.gfcounty.nd.gov/,,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
38037,ND,Grant County,8,https://www.grantcountynd.com/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38039,ND,Griggs County,9,https://www.griggscountynd.gov/,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
38041,ND,Hettinger County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38043,ND,Kidder County,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38045,ND,LaMoure County,9,https://lamourecountynd.com/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38047,ND,Logan County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38049,ND,McHenry County,9,https://www.mchenrycountynd.com/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38051,ND,McIntosh County,9,https://www.mcintoshnd.com/,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38053,ND,McKenzie County,9,https://county.mckenziecounty.net/,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
38055,ND,McLean County,8,https://www.mcleancountynd.gov/,,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0
38057,ND,Mercer County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38059,ND,Morton County,3,https://www.mortonnd.org/,,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
38061,ND,Mountrail County,9,http://www.co.mountrail.nd.us/,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38063,ND,Nelson County,8,https://www.nelsonco.org/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38065,ND,Oliver County,3,https://olivercountynd.org/,,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
38067,ND,Pembina County,9,https://www.pembinacountynd.gov/,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38069,ND,Pierce County,7,https://www.piercecountynd.gov/,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
38071,ND,Ramsey County,7,https://www.co.ramsey.nd.us/,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
38073,ND,Ransom County,8,https://ransomcountynd.net/,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38075,ND,Renville County,9,https://www.renvillecountynd.org/,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38077,ND,Richland County,6,https://www.co.richland.nd.us/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38079,ND,Rolette County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38081,ND,Sargent County,9,http://sargentnd.com/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38083,ND,Sheridan County,9,http://www.co.sheridan.nd.us/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38085,ND,Sioux County,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38087,ND,Slope County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38089,ND,Stark County,7,https://www.starkcountynd.gov/,,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
38091,ND,Steele County,8,https://www.co.steele.nd.us/,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38093,ND,Stutsman County,7,https://www.stutsmancounty.gov/,,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
38095,ND,Towner County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38097,ND,Traill County,8,https://www.co.traill.nd.us/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38099,ND,Walsh County,6,https://www.co.walsh.nd.us/,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38101,ND,Ward County,5,https://www.co.ward.nd.us/,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38103,ND,Wells County,9,https://www.wellscountynd.com/,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38105,ND,Williams County,7,https://www.williamsnd.com/,,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
