fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
39001,OH,Adams County,6,https://adamscountyoh.gov/,https://www.boe.ohio.gov/adams,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0
39003,OH,Allen County,3,https://www.allen.boe.ohio.gov/,,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0
39005,OH,Ashland County,4,https://www.boe.ohio.gov/ashland/,,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
39007,OH,Ashtabula County,4,https://www.boe.ohio.gov/ashtabula,https://www.ashtabulacounty.us/,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0
39009,OH,Athens County,4,https://www.co.athensoh.org/,https://www.boe.ohio.gov/athens/,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
39011,OH,Auglaize County,4,https://www2.auglaizecounty.org/,https://www.boe.ohio.gov/auglaize,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
39013,OH,Belmont County,3,https://www.boe.ohio.gov/belmont/,https://belmontcountycommissioners.com/,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
39015,OH,Brown County,1,http://www.browncountyohio.gov/,https://www.boe.ohio.gov/brown/,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
39017,OH,Butler County,1,https://www.butlercountyohio.org/countyPortal.cfm?1124421,https://elections.bcohio.gov/,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
39019,OH,Carroll County,2,https://carrollcountyohio.us/,https://www.boe.ohio.gov/carroll,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
39021,OH,Champaign County,6,https://www.co.champaign.oh.us/,https://www.boe.ohio.gov/champaign/,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0
39023,OH,Clark County,3,https://www.boe.ohio.gov/clark/,https://www.clarkcountyohio.gov/,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
39025,OH,Clermont County,1,https://clermontcountyohio.gov/,https://boe.clermontcountyohio.gov/,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0
39027,OH,Clinton County,6,https://co.clinton.oh.us/,,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
39029,OH,Columbiana County,4,http://www.columbianacounty.org/,https://www.columbiana.boe.ohio.gov/,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0
39031,OH,Coshocton County,6,https://www.coshoctoncounty.net/,https://www.coshocton.boe.ohio.gov/,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0
39033,OH,Crawford County,4,https://crawfordcountyohioboe.gov/,,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0
39035,OH,Cuyahoga County,1,https://cuyahogacounty.us/,https://boe.cuyahogacounty.gov/,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
39037,OH,Darke County,6,https://www.mydarkecounty.com/,https://www.boe.ohio.gov/darke/,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0
39039,OH,Defiance County,4,https://www.defiance-county.com/,https://www.boe.ohio.gov/defiance/,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
39041,OH,Delaware County,1,https://co.delaware.oh.us/,https://vote.delawarecountyohio.gov/,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
39043,OH,Erie County,4,https://www.eriecounty.oh.gov/,https://www.boe.ohio.gov/erie/,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0
39045,OH,Fairfield County,1,https://www.co.fairfield.oh.us/,https://www.boe.ohio.gov/fairfield,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
39047,OH,Fayette County,6,https://www.fayette-co-oh.com/,https://www.boe.ohio.gov/fayette/,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1
39049,OH,Franklin County,1,https://www.franklincountyohio.gov/,,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0
39051,OH,Fulton County,2,https://www.fultoncountyoh.com/,https://www.boe.ohio.gov/fulton,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
39053,OH,Gallia County,6,https://www.boe.ohio.gov/gallia,,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0
39055,OH,Geauga County,1,https://co.geauga.oh.us/,https://boelections.geauga.oh.gov/#group=documentlist&docspagination=0-15,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
39057,OH,Greene County,2,https://www.greenecountyohio.gov/,https://www.boe.ohio.gov/greene,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
39059,OH,Guernsey County,6,https://boe.guernseycounty.gov/,,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0
39061,OH,Hamilton County,1,https://votehamiltoncountyohio.gov/,,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0
39063,OH,Hancock County,4,https://www.co.hancock.oh.us/,,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0
39065,OH,Hardin County,6,http://www.co.hardin.oh.us/index.php,https://www.boe.ohio.gov/hardin/,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0
39067,OH,Harrison County,6,https://www.harrisoncountyohio.org/,,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0
39069,OH,Henry County,6,https://www.henrycountyohio.gov/,,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0
39071,OH,Highland County,6,https://co.highland.oh.us/,https://www.boe.ohio.gov/highland/,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
39073,OH,Hocking County,1,https://hocking.oh.gov/,https://www.boe.ohio.gov/hocking,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
39075,OH,Holmes County,7,https://www.co.holmes.oh.us/,https://www.boe.ohio.gov/holmes,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
39077,OH,Huron County,4,http://www.huroncounty-oh.gov/,https://www.huron.boe.ohio.gov/,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
39079,OH,Jackson County,7,https://www.jacksoncountyohio.us/,https://www.boe.ohio.gov/jackson/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39081,OH,Jefferson County,3,https://jeffersoncountyoh.com/,https://www.boe.ohio.gov/jefferson/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39083,OH,Knox County,4,https://co.knox.oh.us/,https://www.boe.ohio.gov/knox,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39085,OH,Lake County,1,https://www.lakecountyohio.gov/,,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
39087,OH,Lawrence County,2,https://lawrencecounty.org/,https://www.boe.ohio.gov/lawrence/,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
39089,OH,Licking County,1,https://lickingcounty.gov/,https://www.boe.ohio.gov/licking/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39091,OH,Logan County,6,https://www.co.logan.oh.us/,https://www.boe.ohio.gov/logan/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39093,OH,Lorain County,1,https://www.loraincountyohio.gov/,https://www.voteloraincountyohio.gov/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
39095,OH,Lucas County,2,https://co.lucas.oh.us/,https://www.lucascountyohiovotes.gov/,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
39097,OH,Madison County,1,https://www.co.madison.oh.us/,https://www.boe.ohio.gov/madison/,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
39099,OH,Mahoning County,2,https://www.mahoningcountyoh.gov/,https://vote.mahoningcountyoh.gov/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39101,OH,Marion County,4,https://www.co.marion.oh.us/,https://www.boe.ohio.gov/marion,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
39103,OH,Medina County,1,https://www.medinaco.org/,https://www.boe.ohio.gov/medina/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39105,OH,Meigs County,6,https://www.meigscountyohio.com/,https://www.boe.ohio.gov/meigs/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39107,OH,Mercer County,7,https://www.mercercountyohio.org/,https://elections.mercercountyohio.gov/,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
39109,OH,Miami County,2,https://www.co.miami.oh.us/,https://www.boe.ohio.gov/miami/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39111,OH,Monroe County,8,https://www.monroecountyohio.net/,https://www.boe.ohio.gov/monroe/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39113,OH,Montgomery County,2,https://www.mcohio.org/,https://www.montgomery.boe.ohio.gov/,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
39115,OH,Morgan County,6,https://www.morgancounty-oh.gov/,https://www.boe.ohio.gov/morgan,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
39117,OH,Morrow County,1,https://morrowcountyohio.gov/,https://boe.morrowcountyohio.gov/index.php,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
39119,OH,Muskingum County,4,https://www.muskingumcountyoh.gov/,https://www.boe.ohio.gov/muskingum/,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
39121,OH,Noble County,7,https://noblecountyohio.gov/,https://www.boe.ohio.gov/noble/,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
39123,OH,Ottawa County,4,https://www.co.ottawa.oh.us/,https://boe.ottawa.oh.gov/,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
39125,OH,Paulding County,6,https://www.pauldingcountyoh.com/,https://www.boe.ohio.gov/paulding,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
39127,OH,Perry County,1,http://www.perrycountyohio.net/,http://elections.perrycountyohio.gov/,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
39129,OH,Pickaway County,1,https://pickaway.org/,https://www.boe.ohio.gov/pickaway/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39131,OH,Pike County,7,https://www.pikecountyohcommissioners.gov/,https://www.boe.ohio.gov/pike/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39133,OH,Portage County,2,https://www.portagecounty-oh.gov/,https://www.portagecounty-oh.gov/board-elections,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0
39135,OH,Preble County,6,https://www.prebco.org/,https://www.boe.ohio.gov/preble/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39137,OH,Putnam County,6,https://putnamcountyohio.gov/,https://www.boe.ohio.gov/putnam/,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
39139,OH,Richland County,3,https://www.richlandcountyoh.gov/,https://www.boe.ohio.gov/richland/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39141,OH,Ross County,4,http://www.co.ross.oh.us/,https://www.boe.ohio.gov/ross/,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
39143,OH,Sandusky County,4,https://sanduskycountyoh.gov/,,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
39145,OH,Scioto County,4,https://www.sciotocountyoh.com/,https://www.boe.ohio.gov/scioto/,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
39147,OH,Seneca County,4,https://senecacountyohio.gov/,https://www.boe.ohio.gov/seneca/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39149,OH,Shelby County,4,https://co.shelby.oh.us/,https://www.boe.ohio.gov/shelby/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39151,OH,Stark County,2,https://www.starkcountyohio.gov/,,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0
39153,OH,Summit County,2,https://co.summitoh.net/portal/County-of-Summit-Ohio.html,https://www.boe.ohio.gov/summit/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
39155,OH,Trumbull County,2,https://www.co.trumbull.oh.us/,https://boe.co.trumbull.oh.gov/,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0
39157,OH,Tuscarawas County,4,https://www.co.tuscarawas.oh.us/,https://www.boe.ohio.gov/tuscarawas/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39159,OH,Union County,1,https://www.unioncountyohio.gov/,,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0
39161,OH,Van Wert County,6,https://www.vanwertcountyohio.gov/,https://www.boe.ohio.gov/vanwert/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
39163,OH,Vinton County,8,http://www.vintoncounty.com/,https://www.boe.ohio.gov/vinton/,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
39165,OH,Warren County,1,https://www.co.warren.oh.us/,https://vote.warrencountyohio.gov/,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
39167,OH,Washington County,4,https://www.washingtongov.org/,https://www.boe.ohio.gov/washington,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
39169,OH,Wayne County,4,https://www.wayneohio.org/,https://www.waynecountyoh.gov/,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
39171,OH,Williams County,6,https://www.williamscountyoh.gov/,,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0
39173,OH,Wood County,2,https://www.co.wood.oh.us/,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
39175,OH,Wyandot County,7,https://www.co.wyandot.oh.us/,https://www.boe.ohio.gov/wyandot/,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
