fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
40001,OK,Adair County,6,https://adair.clerkinfo.net/,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40003,OK,Alfalfa County,9,https://alfalfa.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40005,OK,Atoka County,9,https://www.atokaok.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40007,OK,Beaver County,9,https://beaver.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40009,OK,Beckham County,7,https://beckham.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40011,OK,Blaine County,6,https://blaine.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40013,OK,Bryan County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40015,OK,Caddo County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40017,OK,Canadian County,1,https://www.canadiancounty.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40019,OK,Carter County,5,https://cartercountyok.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40021,OK,Cherokee County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40023,OK,Choctaw County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40025,OK,Cimarron County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40027,OK,Cleveland County,1,https://www.clevelandcountyelectionboard.com/,,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0
40029,OK,Coal County,9,https://coal.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40031,OK,Comanche County,3,https://www.comanchecounty.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40033,OK,Cotton County,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40035,OK,Craig County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40037,OK,Creek County,2,https://www.creekcountyonline.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40039,OK,Custer County,7,https://custer.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
40041,OK,Delaware County,6,https://delaware.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40043,OK,Dewey County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40045,OK,Ellis County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40047,OK,Garfield County,5,https://www.gcclerk.org/public/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40049,OK,Garvin County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40051,OK,Grady County,1,http://gradycountyok.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40053,OK,Grant County,9,https://grant.okcounties.org/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40055,OK,Greer County,7,https://greer.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40057,OK,Harmon County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40059,OK,Harper County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40061,OK,Haskell County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40063,OK,Hughes County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40065,OK,Jackson County,7,http://www.jacksoncountyok.com/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40067,OK,Jefferson County,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40069,OK,Johnston County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40071,OK,Kay County,5,https://www.courthouse.kay.ok.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40073,OK,Kingfisher County,6,https://kingfisher.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40075,OK,Kiowa County,6,https://kiowacountyok.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40077,OK,Latimer County,7,https://latimer.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40079,OK,Le Flore County,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40081,OK,Lincoln County,1,https://lincolncountyok.org/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40083,OK,Logan County,1,https://www.logancountyok.com/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40085,OK,Love County,9,https://love.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40087,OK,McClain County,1,https://mcclain-co-ok.us/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40089,OK,McCurtain County,7,https://mccurtain.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40091,OK,McIntosh County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40093,OK,Major County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40095,OK,Marshall County,6,https://marshall.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40097,OK,Mayes County,6,https://mayes.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40099,OK,Murray County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40101,OK,Muskogee County,4,https://muskogee.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40103,OK,Noble County,6,https://www.nobleceb.com/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40105,OK,Nowata County,6,https://nowataok.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40107,OK,Okfuskee County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40109,OK,Oklahoma County,1,https://www.oklahomacounty.org/,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40111,OK,Okmulgee County,2,http://okmulgeeonline.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40113,OK,Osage County,2,https://osage.okcounties.org/,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
40115,OK,Ottawa County,6,https://ottawa.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40117,OK,Pawnee County,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40119,OK,Payne County,4,https://www.paynecounty.org/,https://votepaynecounty.com/,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
40121,OK,Pittsburg County,5,https://pittsburg.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40123,OK,Pontotoc County,7,https://pontotoc.okcounties.org/,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
40125,OK,Pottawatomie County,4,https://www.pottawatomiecountyok.gov/home,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40127,OK,Pushmataha County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40129,OK,Roger Mills County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40131,OK,Rogers County,2,https://rogerscountyelectionboard.org/,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
40133,OK,Seminole County,7,https://seminolecountyok.com/index.php,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40135,OK,Sequoyah County,2,https://seqcounty.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40137,OK,Stephens County,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40139,OK,Texas County,7,https://texas.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40141,OK,Tillman County,6,https://tillman.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40143,OK,Tulsa County,2,https://www2.tulsacounty.org/home/,,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0
40145,OK,Wagoner County,2,https://www.ok.gov/wagonercounty/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40147,OK,Washington County,4,http://countycourthouse.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40149,OK,Washita County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40151,OK,Woods County,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40153,OK,Woodward County,7,https://woodward.okcounties.org/,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
