fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
41001,OR,Baker County,7,https://www.bakercounty.org/,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
41003,OR,Benton County,3,https://www.co.benton.or.us/,,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0
41005,OR,Clackamas County,1,https://www.clackamas.us/,,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0
41007,OR,Clatsop County,4,https://www.clatsopcounty.gov/,,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1
41009,OR,Columbia County,1,https://www.columbiacountyor.gov/,,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0
41011,OR,Coos County,5,https://www.co.coos.or.us/,,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1
41013,OR,Crook County,6,https://co.crook.or.us/,,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0
41015,OR,Curry County,7,https://www.co.curry.or.us/,,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
41017,OR,Deschutes County,3,https://www.deschutes.org/,,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0
41019,OR,Douglas County,4,https://douglascounty-oregon.us/,,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0
41021,OR,Gilliam County,9,https://www.co.gilliam.or.us/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41023,OR,Grant County,9,https://grantcountyoregon.net/,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
41025,OR,Harney County,7,https://www.co.harney.or.us/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
41027,OR,Hood River County,6,https://www.hoodrivercounty.gov/,,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0
41029,OR,Jackson County,3,https://jacksoncountyor.org/,,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
41031,OR,Jefferson County,6,https://www.jeffco.net/,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
41033,OR,Josephine County,3,https://www.josephinecounty.gov/,,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
41035,OR,Klamath County,5,https://www.klamathcounty.org/,,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1
41037,OR,Lake County,7,https://www.lakecountyor.org/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41039,OR,Lane County,2,https://www.lanecounty.org/,,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1
41041,OR,Lincoln County,5,https://www.co.lincoln.or.us/,,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1
41043,OR,Linn County,3,https://www.co.linn.or.us/,,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
41045,OR,Malheur County,6,https://www.malheurco.org/,,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
41047,OR,Marion County,2,https://www.co.marion.or.us/,,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0
41049,OR,Morrow County,6,https://www.co.morrow.or.us/,,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0
41051,OR,Multnomah County,1,https://www.multco.us/,,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
41053,OR,Polk County,2,https://www.co.polk.or.us/,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
41055,OR,Sherman County,9,https://www.co.sherman.or.us/,,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
41057,OR,Tillamook County,6,https://www.co.tillamook.or.us/,,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
41059,OR,Umatilla County,4,https://www.co.umatilla.or.us/,,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0
41061,OR,Union County,7,https://union-county.org/,,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
41063,OR,Wallowa County,9,https://co.wallowa.or.us/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41065,OR,Wasco County,6,https://www.co.wasco.or.us/,,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0
41067,OR,Washington County,1,https://www.washingtoncountyor.gov/,,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0
41069,OR,Wheeler County,9,https://www.wheelercountyoregon.com/,,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0
41071,OR,Yamhill County,1,https://www.co.yamhill.or.us/,,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
