fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
42001,PA,Adams County,3,https://www.adamscountypa.gov/,,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0
42003,PA,Allegheny County,1,https://www.alleghenycounty.us/,,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0
42005,PA,Armstrong County,1,https://co.armstrong.pa.us/index.php,,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
42007,PA,Beaver County,1,https://beavercountypa.gov/,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
42009,PA,Bedford County,6,https://www.bedfordcountypa.org/,,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0
42011,PA,Berks County,2,https://www.countyofberks.com/,,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0
42013,PA,Blair County,3,https://www.blairco.org/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0
42015,PA,Bradford County,6,https://bradfordcountypa.org/,,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0
42017,PA,Bucks County,1,https://www.buckscounty.gov/1252/Board-of-Elections,,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0
42019,PA,Butler County,1,https://www.butlercountypa.gov/,,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0
42021,PA,Cambria County,3,https://www.cambriacountypa.gov/,,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0
42023,PA,Cameron County,7,https://www.cameroncountypa.com/,,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0
42025,PA,Carbon County,2,https://www.carboncountypa.gov/index.php,,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
42027,PA,Centre County,3,https://centrecountyvotes.gov/,,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0
42029,PA,Chester County,1,https://www.chesco.org/,,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
42031,PA,Clarion County,6,https://www.co.clarion.pa.us/,,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0
42033,PA,Clearfield County,4,https://clearfieldco.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42035,PA,Clinton County,4,https://www.clintoncountypa.gov/home,,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0
42037,PA,Columbia County,3,http://www.columbiapa.org/index.php,,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42039,PA,Crawford County,4,https://www.crawfordcountypa.net/Pages/Home.aspx,,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0
42041,PA,Cumberland County,2,https://www.cumberlandcountypa.gov/,,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0
42043,PA,Dauphin County,2,https://www.dauphincounty.gov/,,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
42045,PA,Delaware County,1,https://delcopa.gov/index.html,,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0
42047,PA,Elk County,7,https://www.co.elk.pa.us/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42049,PA,Erie County,2,https://eriecountypa.gov/,,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0
42051,PA,Fayette County,1,https://www.fayettecountypa.org/,,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0
42053,PA,Forest County,9,http://www.co.forest.pa.us/,,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0
42055,PA,Franklin County,3,https://franklincountypa.gov/index.php,,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0
42057,PA,Fulton County,8,https://www.co.fulton.pa.us/index.php,,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0
42059,PA,Greene County,6,https://www.co.greene.pa.us/,,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0
42061,PA,Huntingdon County,6,https://www.huntingdoncounty.net/,,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
42063,PA,Indiana County,4,https://www.indianacountypa.gov/,,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0
42065,PA,Jefferson County,7,https://www.jeffersoncountypa.com/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0
42067,PA,Juniata County,6,https://www.juniataco.org/,,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
42069,PA,Lackawanna County,2,https://www.lackawannacounty.org/,,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
42071,PA,Lancaster County,2,https://www.co.lancaster.pa.us/,,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0
42073,PA,Lawrence County,4,https://lawrencecountypa.gov/,,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
42075,PA,Lebanon County,3,https://lebanoncountypa.gov/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
42077,PA,Lehigh County,2,https://www.lehighcounty.org/,,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0
42079,PA,Luzerne County,2,https://www.luzernecounty.org/,,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
42081,PA,Lycoming County,3,https://www.lyco.org/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0
42083,PA,McKean County,7,https://www.mckeancountypa.org/,,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0
42085,PA,Mercer County,2,https://www.mercercountypa.gov/,,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
42087,PA,Mifflin County,4,https://mifflinco.org/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
42089,PA,Monroe County,3,https://www.monroecountypa.gov/,,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0
42091,PA,Montgomery County,1,https://www.montcopa.org/,,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0
42093,PA,Montour County,3,https://montourcounty.gov/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
42095,PA,Northampton County,2,https://www.northamptoncounty.org/Pages/default.aspx,,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0
42097,PA,Northumberland County,4,https://www.norrycopa.net/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
42099,PA,Perry County,2,https://perryco.org/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
42101,PA,Philadelphia County,1,https://vote.phila.gov/,,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0
42103,PA,Pike County,1,https://www.pikepa.org/,,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0
42105,PA,Potter County,9,https://pottercountypa.net/index.php,,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0
42107,PA,Schuylkill County,4,https://schuylkillcountypa.gov/index.php,,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
42109,PA,Snyder County,7,https://www.snydercounty.org/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
42111,PA,Somerset County,4,http://www.co.somerset.pa.us/,,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
42113,PA,Sullivan County,8,https://www.sullivancountypa.gov/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
42115,PA,Susquehanna County,6,https://susqco.com/,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
42117,PA,Tioga County,6,https://www.tiogacountypa.us/,,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0
42119,PA,Union County,4,https://sites.google.com/unionco.org/unioncoelections/home,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
42121,PA,Venango County,4,https://co.venango.pa.us/,,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0
42123,PA,Warren County,6,https://warrencountypa.gov/,,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
42125,PA,Washington County,1,https://www.co.washington.pa.us/,,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
42127,PA,Wayne County,6,https://www.waynecountypa.gov/,,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0
42129,PA,Westmoreland County,1,https://www.co.westmoreland.pa.us/,,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
42131,PA,Wyoming County,2,https://wycopa.org/,,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
42133,PA,York County,2,https://yorkcountypa.gov/,,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
