fips,state,county,Town/City,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
44001,RI,Bristol County,Barrington,1,https://www.barrington.ri.gov,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44001,RI,Bristol County,Bristol,1,https://www.bristolri.gov,,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0
44001,RI,Bristol County,warren,1,https://www.townofwarren-ri.gov,,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0
44003,RI,Kent County,Coventry,1,https://www.coventryri.org,,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
44003,RI,Kent County,East Greenwich,1,https://www.eastgreenwichri.com,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
44003,RI,Kent County,City of Warwick,1,https://www.warwickri.gov,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44003,RI,Kent County,West Greenwich,1,https://www.wgtownri.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44003,RI,Kent County,West Warwick,1,https://www.westwarwickri.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44005,RI,Newport County,Jamestown,1,https://www.jamestownri.gov/home,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
44005,RI,Newport County,Little Compton,1,https://www.littlecomptonri.org,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
44005,RI,Newport County,Middletown,1,https://www.middletownri.com,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44005,RI,Newport County,City of Newport,1,https://www.cityofnewport.com,,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
44005,RI,Newport County,Portsmouth,1,https://www.portsmouthri.gov,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
