fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
46003,SD,Aurora County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46005,SD,Beadle County,7,https://www.beadlesd.org/,,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
46007,SD,Bennett County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46009,SD,Bon Homme County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46011,SD,Brookings County,5,https://www.brookingscountysd.gov/,,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
46013,SD,Brown County,5,https://www.brown.sd.us/,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46015,SD,Brule County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46017,SD,Buffalo County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46019,SD,Butte County,6,https://www.buttesd.org/,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
46021,SD,Campbell County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46023,SD,Charles Mix County,9,https://charlesmix.sdcounties.org/,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
46025,SD,Clark County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46027,SD,Clay County,6,https://www.claycountysd.org/,,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0
46029,SD,Codington County,5,https://www.codington.org/,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46031,SD,Corson County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46033,SD,Custer County,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46035,SD,Davison County,7,https://www.davisoncounty.org/,,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
46037,SD,Day County,9,https://day.sdcounties.org/,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
46039,SD,Deuel County,9,https://www.deuelcountysd.com/,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46041,SD,Dewey County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46043,SD,Douglas County,9,https://douglas.sdcounties.org/,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
46045,SD,Edmunds County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46047,SD,Fall River County,6,https://fallriver.sdcounties.org/,,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
46049,SD,Faulk County,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
