fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
47001,TN,Anderson County,2,https://www.acelect.com/,,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0
47003,TN,Bedford County,4,https://www.bedfordcountytn.gov/departments/elections/index.php,,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
47005,TN,Benton County,7,https://www.bentoncotnelections.com/,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
47007,TN,Bledsoe County,8,https://bledsoetn.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47009,TN,Blount County,2,https://www.blounttn.org/447/Election-Commission,,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0
47011,TN,Bradley County,3,https://bradleyelections.com/,,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
47013,TN,Campbell County,2,https://www.campbellelections.com/,,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0
47015,TN,Cannon County,1,https://cannoncountytn.gov/election-commission-2/,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
47017,TN,Carroll County,6,https://carrollcountytnelections.com/,,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
47019,TN,Carter County,3,https://www.cartercountytn.gov/government/departments-services/election-office/,,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
47021,TN,Cheatham County,1,https://www.cheathamcountytn.gov/election_commission.html,,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0
47023,TN,Chester County,3,https://votechestercountytn.gov/,,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0
47025,TN,Claiborne County,6,https://claibornevotes.com/,,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0
