fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
48001,TX,Anderson County,7,https://www.co.anderson.tx.us/,,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0
48003,TX,Andrews County,6,https://www.co.andrews.tx.us/,,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0
48005,TX,Angelina County,5,https://www.angelinacounty.net/,,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0
48007,TX,Aransas County,2,https://www.aransascountytx.gov/main/,,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
48009,TX,Archer County,3,https://www.co.archer.tx.us/,,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
48011,TX,Armstrong County,2,https://www.co.armstrong.tx.us/,,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0
48013,TX,Atascosa County,1,https://www.atascosacounty.texas.gov/,,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
48015,TX,Austin County,1,https://www.austincounty.com/,,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0
48017,TX,Bailey County,7,https://www.co.bailey.tx.us/,,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
48019,TX,Bandera County,1,https://www.banderacounty.org/,,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
48021,TX,Bastrop County,1,https://www.co.bastrop.tx.us/,https://www.bastropvotes.org/,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
48023,TX,Baylor County,8,https://www.co.baylor.tx.us/,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48025,TX,Bee County,6,https://www.co.bee.tx.us/,,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0
48027,TX,Bell County,2,https://www.bellcountytx.com/,,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0
48029,TX,Bexar County,1,https://www.bexar.org/,,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0
48031,TX,Blanco County,8,https://www.co.blanco.tx.us/,,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0
48033,TX,Borden County,8,https://www.co.borden.tx.us/,,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
48035,TX,Bosque County,6,https://www.bosquecounty.us/,,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0
48037,TX,Bowie County,3,https://www.co.bowie.tx.us/,,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0
48039,TX,Brazoria County,1,https://www.brazoriacountytx.gov/,https://www.brazoriacountyclerktx.gov/departments/elections,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0
48041,TX,Brazos County,3,https://www.brazoscountytx.gov/,https://www.brazosvotes.org/,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
48043,TX,Brewster County,7,http://www.brewstercountytx.com/,,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0
48045,TX,Briscoe County,9,https://www.co.briscoe.tx.us/,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
48047,TX,Brooks County,7,https://www.co.brooks.tx.us/,,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0
48049,TX,Brown County,5,https://www.browncountytx.org/,,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
48051,TX,Burleson County,3,https://www.co.burleson.tx.us/,,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0
48053,TX,Burnet County,6,https://www.burnetcountytexas.org/,https://burnetcountyelections.com/,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
48055,TX,Caldwell County,1,https://www.co.caldwell.tx.us/,,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
48057,TX,Calhoun County,6,https://www.calhouncotx.org/,,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0
48059,TX,Callahan County,3,https://www.callahancounty.org/,,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
48061,TX,Cameron County,2,https://www.cameroncountytx.gov/,,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
48063,TX,Camp County,6,https://www.co.camp.tx.us/,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48065,TX,Carson County,2,https://www.co.carson.tx.us/,,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
48067,TX,Cass County,6,https://www.co.cass.tx.us/,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48069,TX,Castro County,6,https://www.co.castro.tx.us/,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48071,TX,Chambers County,1,https://www.co.chambers.tx.us/,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0
48073,TX,Cherokee County,6,http://www.co.cherokee.tx.us/ips/cms/index.html,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
48075,TX,Childress County,7,https://www.childresstx.us/,,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
48077,TX,Clay County,3,https://www.co.clay.tx.us/,,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
48079,TX,Cochran County,9,https://www.co.cochran.tx.us/,,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
48081,TX,Coke County,8,https://www.co.coke.tx.us/,,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
48083,TX,Coleman County,6,https://www.co.coleman.tx.us/,,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
48085,TX,Collin County,1,https://www.collincountytx.gov/Pages/default.aspx,,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
48087,TX,Collingsworth County,9,https://www.co.collingsworth.tx.us/,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
48089,TX,Colorado County,6,https://www.co.colorado.tx.us/,,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0
48091,TX,Comal County,1,https://www.co.comal.tx.us/,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
48093,TX,Comanche County,7,https://www.co.comanche.tx.us/,,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
48095,TX,Concho County,8,https://www.co.concho.tx.us/,,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
48097,TX,Cooke County,6,https://www.co.cooke.tx.us/,,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0
48099,TX,Coryell County,2,https://www.coryellcounty.org/,https://coryellcountytax.com/#/elections,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0
48101,TX,Cottle County,9,https://www.co.cottle.tx.us/,,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
48103,TX,Crane County,6,https://www.co.crane.tx.us/,,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0
48105,TX,Crockett County,7,https://www.co.crockett.tx.us/,,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0
48107,TX,Crosby County,2,https://www.co.crosby.tx.us/,,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
