fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
49001,UT,Beaver County,7,https://beaver.utah.gov/,,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0
49003,UT,Box Elder County,2,https://www.boxeldercounty.org/,,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
49005,UT,Cache County,3,https://www.cachecounty.org/,,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
49007,UT,Carbon County,7,https://www.carbonutah.com/,,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1
49009,UT,Daggett County,9,https://www.daggettcounty.org/,,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1
49011,UT,Davis County,2,https://www.daviscountyutah.gov/,,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0
49013,UT,Duchesne County,7,https://www.duchesne.utah.gov/,,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
49015,UT,Emery County,7,http://www.emerycounty.com/,,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
49017,UT,Garfield County,9,https://www.garfield.utah.gov/,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
49019,UT,Grand County,7,https://www.grandcountyutah.net/,,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1
49021,UT,Iron County,4,https://www.ironcounty.net/,,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0
49023,UT,Juab County,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49025,UT,Kane County,6,https://kane.utah.gov/,,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
49027,UT,Millard County,7,https://millardcounty.org/,,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
49029,UT,Morgan County,2,https://www.morgancountyutah.gov/,,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0
49031,UT,Piute County,9,https://www.piuteutah.com/,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
49033,UT,Rich County,8,https://www.richcountyut.org/,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
49035,UT,Salt Lake County,1,https://slco.org/,,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1
49037,UT,San Juan County,7,https://sanjuancounty.org/,,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0
49039,UT,Sanpete County,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49041,UT,Sevier County,7,https://www.sevierutah.net/,,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0
49043,UT,Summit County,4,https://summitcounty.org/,,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1
49045,UT,Tooele County,1,https://tooeleco.org/,,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
49047,UT,Uintah County,7,https://www.uintah.utah.gov/,,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
49049,UT,Utah County,2,https://www.utahcounty.gov/,,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
49051,UT,Wasatch County,6,https://www.wasatch.utah.gov/,,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0
49053,UT,Washington County,3,https://www.washco.utah.gov/,,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1
49055,UT,Wayne County,9,https://www.waynecountyutah.org/,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49057,UT,Weber County,2,https://www.weberelections.gov/,,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
