fips,state,county,City/Town,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
50001,VT,Addison County,Addison city,6,https://www.addisonvt.net,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Bridport,6,https://bridportvt.org,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Bristol,6,http://bristolvt.org,,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
50001,VT,Addison County,Cornwall,6,https://cornwallvt.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Ferrisburgh,6,https://www.ferrisburghvt.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Goshen,6,https://goshenvt.org,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
50001,VT,Addison County,Granville,6,https://granvillevermont.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Hancock,6,https://www.hancockvt.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Leicester,6,https://www.leicestervt.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Lincoln,6,https://lincolnvermont.org,,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
50001,VT,Addison County,Middlebury,6,https://www.townofmiddlebury.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Monkton,6,http://monktonvt.com,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,New Haven,6,https://www.newhavenvt.com,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
50001,VT,Addison County,Orwell,6,https://townoforwellvt.org,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50001,VT,Addison County,Panton,6,https://www.pantonvt.us,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50001,VT,Addison County,Ripton,6,https://www.riptonvermont.org,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Salisbury,6,https://www.townofsalisbury.org,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50001,VT,Addison County,Shoreham,6,https://shorehamvt.org,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
