fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
53001,WA,Adams County,6,https://www.co.adams.wa.us/,,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1
53003,WA,Asotin County,3,https://www.co.asotin.wa.us/,,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
53005,WA,Benton County,2,https://www.bentonauditor.com/Auditors-Office-Home.html,,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1
53007,WA,Chelan County,3,https://www.co.chelan.wa.us/,,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
53009,WA,Clallam County,5,https://www.clallamcountywa.gov/,,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0
53011,WA,Clark County,1,https://clark.wa.gov/,,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
53013,WA,Columbia County,3,https://www.columbiaco.com/,,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0
53015,WA,Cowlitz County,3,https://www.co.cowlitz.wa.us/,,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
53017,WA,Douglas County,3,https://www.douglascountywa.net/,,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1
53019,WA,Ferry County,9,https://ferrycountyauditor.com/Indexpage,https://www.ferry-county.com/,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1
53021,WA,Franklin County,2,https://www.franklincountywa.gov/,,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0
53023,WA,Garfield County,8,https://www.co.garfield.wa.us/,,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1
53025,WA,Grant County,5,https://www.grantcountywa.gov/,,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1
53027,WA,Grays Harbor County,4,https://www.graysharbor.us/,,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
53029,WA,Island County,4,https://www.islandcountywa.gov/Pages/Home.aspx,,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0
53031,WA,Jefferson County,6,https://www.co.jefferson.wa.us/,,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
53033,WA,King County,1,https://kingcounty.gov/,,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
53035,WA,Kitsap County,2,https://www.kitsapgov.com/,,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0
53037,WA,Kittitas County,4,https://www.co.kittitas.wa.us/,,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0
53039,WA,Klickitat County,6,https://www.klickitatcounty.org/,,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
53041,WA,Lewis County,4,https://elections.lewiscountywa.gov/,,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
53043,WA,Lincoln County,8,https://www.co.lincoln.wa.us/,,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0
53045,WA,Mason County,4,https://masoncountywaelections.gov/,,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0
53047,WA,Okanogan County,6,https://www.okanogancounty.org/,,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0
53049,WA,Pacific County,7,https://www.co.pacific.wa.us/,,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1
53051,WA,Pend Oreille County,2,https://pendoreilleco.org/,,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0
53053,WA,Pierce County,1,https://www.piercecountywa.gov/,,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0
53055,WA,San Juan County,9,https://www.sanjuanco.com/,,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
53057,WA,Skagit County,3,https://www.skagitcounty.net/Departments/Home/main.htm,,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
53059,WA,Skamania County,1,https://www.skamaniacounty.org/,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53061,WA,Snohomish County,1,https://snohomishcountywa.gov/,,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
53063,WA,Spokane County,2,https://www.spokanecounty.org/,,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
53065,WA,Stevens County,2,https://www.stevenscountywa.gov/,,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0
53067,WA,Thurston County,2,https://www.thurstoncountywa.gov/,,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
53069,WA,Wahkiakum County,8,https://www.co.wahkiakum.wa.us/,,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0
53071,WA,Walla Walla County,3,https://www.co.walla-walla.wa.us/,,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
53073,WA,Whatcom County,3,https://www.whatcomcounty.us/,,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
53075,WA,Whitman County,4,https://www.whitmancounty.org/,,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1
53077,WA,Yakima County,3,https://www.yakimacounty.us/,,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
