fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
54001,WV,Barbour County,6,https://barbourcountywv.org/,,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
54003,WV,Berkeley County,2,https://www.berkeleywv.org/,,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
54005,WV,Boone County,3,http://www.boonecountyclerkwv.com/,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
54007,WV,Braxton County,8,https://braxtoncounty.wv.gov/Pages/default.aspx,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54009,WV,Brooke County,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54011,WV,Cabell County,2,https://www.cabellcountyclerk.org/,,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
54013,WV,Calhoun County,8,https://calhouncounty.wv.gov/Pages/default.aspx,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54015,WV,Clay County,3,https://www.claycountywv.us/home,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
54017,WV,Doddridge County,9,https://www.doddridgecountywv.gov/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54019,WV,Fayette County,3,https://fayettecounty.wv.gov/Pages/default.aspx,,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
54021,WV,Gilmer County,7,http://www.gilmercountywv.gov/index.aspx,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54023,WV,Grant County,7,https://www.grantcountywv.org/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54025,WV,Greenbrier County,6,https://greenbriercounty.net/,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54027,WV,Hampshire County,3,https://hampshirecountyclerk.weebly.com/,http://hampshirewv.com/index.html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54029,WV,Hancock County,3,https://hancockcountywv.org/index.html,,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0
54031,WV,Hardy County,6,http://hardycounty.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
